"TIMESTAMP","RECORD","batt_volt_Min","radi_Avg","radi_Std"
"2019-08-14 14:59:50",120853,13.85,2.916,1.332
"2019-08-14 15:00:00",120854,13.85,29.1,11.41
"2019-08-14 15:00:10",120855,13.85,34.53,0.357
"2019-08-14 15:00:20",120856,13.85,34.8,0.331
"2019-08-14 15:00:30",120857,13.85,34.47,0
"2019-08-14 15:00:40",120858,13.85,34.47,0
"2019-08-14 15:00:50",120859,13.84,34.4,0.199
"2019-08-14 15:01:00",120860,13.85,34.47,0
"2019-08-14 15:01:10",120861,13.85,18.56,15.96
"2019-08-14 15:01:20",120862,13.85,136.9,271.3
"2019-08-14 15:01:30",120863,13.85,683.9,1.251
"2019-08-14 15:01:40",120864,13.85,672.4,16.28
"2019-08-14 15:01:50",120865,13.85,584,31.67
"2019-08-14 15:02:00",120866,13.85,548.2,9.28
"2019-08-14 15:02:10",120867,13.85,442.4,35.06
"2019-08-14 15:02:20",120868,13.84,480.8,165.3
"2019-08-14 15:02:30",120869,13.85,3.513,3.52
"2019-08-14 15:02:40",120870,13.85,29.69,8.62
"2019-08-14 15:02:50",120871,13.85,30.62,1.916
"2019-08-14 15:03:00",120872,13.85,29.5,1.603
"2019-08-14 15:03:10",120873,13.85,31.62,0.597
"2019-08-14 15:03:20",120874,13.85,33.74,0.862
"2019-08-14 15:03:30",120875,13.85,34.73,0.795
"2019-08-14 15:03:40",120876,13.85,20.61,44.75
"2019-08-14 15:03:50",120877,13.85,254.3,309.3
"2019-08-14 15:04:00",120878,13.85,634.9,1.618
"2019-08-14 15:04:10",120879,13.85,627.5,3.236
"2019-08-14 15:04:20",120880,13.85,617,1.87
"2019-08-14 15:04:30",120881,13.85,620.1,2.08
"2019-08-14 15:04:40",120882,13.85,624.7,3.289
"2019-08-14 15:04:50",120883,13.85,374.1,304.9
"2019-08-14 15:05:00",120884,13.85,17.7,14.21
"2019-08-14 15:05:10",120885,13.85,34.47,0
"2019-08-14 15:05:20",120886,13.85,34.53,0.199
"2019-08-14 15:05:30",120887,13.85,35.4,0.608
"2019-08-14 15:05:40",120888,13.85,34.87,0.608
"2019-08-14 15:05:50",120889,13.85,34.47,0
"2019-08-14 15:06:00",120890,13.85,12.53,14.46
"2019-08-14 15:06:10",120891,13.85,1.193,0.496
"2019-08-14 15:06:20",120892,13.85,1.392,0.809
"2019-08-14 15:06:30",120893,13.82,0.663,0.296
"2019-08-14 15:06:40",120894,13.81,1.193,0.398
"2019-08-14 15:06:50",120895,13.8,0.464,0.518
"2019-08-14 15:07:00",120896,13.8,0.133,0.265
"2019-08-14 15:07:10",120897,13.79,-3.314,10.17
"2019-08-14 15:07:20",120898,13.79,91.2,71.58
"2019-08-14 15:07:30",120899,13.78,354.6,57.22
"2019-08-14 15:07:40",120900,13.77,493.1,25.94
"2019-08-14 15:07:50",120901,13.77,543.5,8.06
"2019-08-14 15:08:00",120902,13.76,557.3,16.06
"2019-08-14 15:08:10",120903,13.76,569.2,6.204
"2019-08-14 15:08:20",120904,13.75,569.1,5.354
"2019-08-14 15:08:30",120905,13.75,560.2,6.737
"2019-08-14 15:08:40",120906,13.75,554.4,5.579
"2019-08-14 15:08:50",120907,13.74,546.8,3.731
"2019-08-14 15:09:00",120908,13.74,539.4,0.842
"2019-08-14 15:09:10",120909,13.74,534.5,1.856
"2019-08-14 15:09:20",120910,13.73,513,11.03
"2019-08-14 15:09:30",120911,13.73,"NAN","NAN"
"2019-08-14 15:09:40",120912,13.72,"NAN","NAN"
"2019-08-14 15:09:50",120913,13.72,0.464,0.304
"2019-08-14 15:10:00",120914,13.73,0.464,0.304
"2019-08-14 15:10:10",120915,13.72,179.1,218.3
"2019-08-14 15:10:20",120916,13.84,500.3,34.89
"2019-08-14 15:10:30",120917,13.85,506.1,22.24
"2019-08-14 15:10:40",120918,13.85,548.4,30.45
"2019-08-14 15:10:50",120919,13.85,595.9,4.752
"2019-08-14 15:11:00",120920,13.85,117.1,230.1
"2019-08-14 15:11:10",120921,13.85,194.2,237.1
"2019-08-14 15:11:20",120922,13.86,1.989,0
"2019-08-14 15:11:30",120923,13.85,1.326,0.663
"2019-08-14 15:11:40",120924,13.85,2.055,0.551
"2019-08-14 15:11:50",120925,13.85,9.21,2.506
"2019-08-14 15:12:00",120926,13.86,303,292.7
"2019-08-14 15:12:10",120927,13.85,494.1,245.7
"2019-08-14 15:12:20",120928,13.85,2.784,1.061
"2019-08-14 15:12:30",120929,13.85,5.568,1.682
"2019-08-14 15:12:40",120930,13.85,7.357,2.435
"2019-08-14 15:12:50",120931,13.85,5.17,0.578
"2019-08-14 15:13:00",120932,13.85,4.971,0.445
"2019-08-14 15:13:10",120933,13.85,4.772,0.398
"2019-08-14 15:13:20",120934,13.85,4.574,0.357
"2019-08-14 15:13:30",120935,13.85,3.712,0.676
"2019-08-14 15:13:40",120936,13.86,164.5,220.6
"2019-08-14 15:13:50",120937,13.85,462.3,24.86
"2019-08-14 15:14:00",120938,13.85,353.3,32.5
"2019-08-14 15:14:10",120939,13.85,371.7,34.59
"2019-08-14 15:14:20",120940,13.85,369.2,11.86
"2019-08-14 15:14:30",120941,13.85,305.1,18.32
"2019-08-14 15:14:40",120942,13.85,329,21.56
"2019-08-14 15:14:50",120943,13.85,443.5,33.02
"2019-08-14 15:15:00",120944,13.85,454.3,15.52
"2019-08-14 15:15:10",120945,13.85,447.1,49.61
"2019-08-14 15:15:20",120946,13.86,622.4,14.78
"2019-08-14 15:15:30",120947,13.85,617.4,10.18
"2019-08-14 15:15:40",120948,13.85,336.5,273.4
"2019-08-14 15:15:50",120949,13.85,2.121,0.398
"2019-08-14 15:16:00",120950,13.86,3.182,1.251
"2019-08-14 15:16:10",120951,13.85,4.242,0.607
"2019-08-14 15:16:20",120952,13.86,242.9,292.3
"2019-08-14 15:16:30",120953,13.85,180.2,270.4
"2019-08-14 15:16:40",120954,13.86,584,3.988
"2019-08-14 15:16:50",120955,13.85,570.6,9.53
"2019-08-14 15:17:00",120956,13.86,551.6,8.78
"2019-08-14 15:17:10",120957,13.86,589.3,8.51
"2019-08-14 15:17:20",120958,13.85,600,0.879
"2019-08-14 15:17:30",120959,13.86,541.5,179.6
"2019-08-14 15:17:40",120960,13.85,4.441,4.678
"2019-08-14 15:17:50",120961,13.85,89.6,67.51
"2019-08-14 15:18:00",120962,13.85,143.6,0.738
"2019-08-14 15:18:10",120963,13.85,144.2,0.679
"2019-08-14 15:18:20",120964,13.85,144.7,0.424
"2019-08-14 15:18:30",120965,13.85,144,0.786
"2019-08-14 15:18:40",120966,13.85,143.4,0.597
"2019-08-14 15:18:50",120967,13.86,73.45,71.21
"2019-08-14 15:19:00",120968,13.86,3.314,0.838
"2019-08-14 15:19:10",120969,13.85,407.5,264.9
"2019-08-14 15:19:20",120970,13.86,581.2,1.061
"2019-08-14 15:19:30",120971,13.86,578.1,2.006
"2019-08-14 15:19:40",120972,13.85,572.3,1.546
"2019-08-14 15:19:50",120973,13.86,569.7,1.657
"2019-08-14 15:20:00",120974,13.86,565.8,1.548
"2019-08-14 15:20:10",120975,13.85,563,1.111
