"DateTime";"FLORIANOPOLIS"
"2021-01-20 12:00:00";203
"2021-01-20 13:00:00";211
"2021-01-20 14:00:00";217
"2021-01-20 15:00:00";240
"2021-01-20 16:00:00";169
"2021-01-20 17:00:00";156
"2021-01-20 18:00:00";156
"2021-01-20 19:00:00";156
"2021-01-20 20:00:00";155
"2021-01-20 21:00:00";153
"2021-01-20 22:00:00";190
"2021-01-20 23:00:00";157
"2021-01-21 00:00:00";153
"2021-01-21 01:00:00";182
"2021-01-21 02:00:00";192
"2021-01-21 03:00:00";161
"2021-01-21 04:00:00";261
"2021-01-21 05:00:00";240
"2021-01-21 06:00:00";256
"2021-01-21 07:00:00";260
"2021-01-21 08:00:00";282
"2021-01-21 09:00:00";241
"2021-01-21 10:00:00";246
"2021-01-21 11:00:00";196
"2021-01-21 12:00:00";188
"2021-01-21 13:00:00";206
"2021-01-21 14:00:00";165
"2021-01-21 15:00:00";158
"2021-01-21 16:00:00";141
"2021-01-21 17:00:00";127
"2021-01-21 18:00:00";153
"2021-01-21 19:00:00";168
"2021-01-21 20:00:00";144
"2021-01-21 21:00:00";151
"2021-01-21 22:00:00";160
"2021-01-21 23:00:00";168
"2021-01-22 00:00:00";186
"2021-01-22 01:00:00";206
"2021-01-22 02:00:00";264
"2021-01-22 03:00:00";238
"2021-01-22 04:00:00";268
"2021-01-22 05:00:00";290
"2021-01-22 06:00:00";255
"2021-01-22 07:00:00";213
"2021-01-22 08:00:00";203
"2021-01-22 09:00:00";196
"2021-01-22 10:00:00";179
"2021-01-22 11:00:00";266
"2021-01-22 12:00:00";265
"2021-01-22 13:00:00";242
"2021-01-22 14:00:00";170
"2021-01-22 15:00:00";156
"2021-01-22 16:00:00";143
"2021-01-22 17:00:00";141
"2021-01-22 18:00:00";156
"2021-01-22 19:00:00";156
"2021-01-22 20:00:00";160
"2021-01-22 21:00:00";155
"2021-01-22 22:00:00";156
"2021-01-22 23:00:00";173
"2021-01-23 00:00:00";220
"2021-01-23 01:00:00";177
"2021-01-23 02:00:00";255
"2021-01-23 03:00:00";297
"2021-01-23 04:00:00";204
"2021-01-23 05:00:00";282
"2021-01-23 06:00:00";225
"2021-01-23 07:00:00";309
"2021-01-23 08:00:00";319
"2021-01-23 09:00:00";344
"2021-01-23 10:00:00";20
"2021-01-23 11:00:00";198
"2021-01-23 12:00:00";249
"2021-01-23 13:00:00";309
"2021-01-23 14:00:00";6
"2021-01-23 15:00:00";83
"2021-01-23 16:00:00";7
"2021-01-23 17:00:00";25
"2021-01-23 18:00:00";35
"2021-01-23 19:00:00";26
"2021-01-23 20:00:00";19
"2021-01-23 21:00:00";360
"2021-01-23 22:00:00";346
"2021-01-23 23:00:00";241
"2021-01-24 00:00:00";321
"2021-01-24 01:00:00";341
"2021-01-24 02:00:00";325
"2021-01-24 03:00:00";338
"2021-01-24 04:00:00";307
"2021-01-24 05:00:00";303
"2021-01-24 06:00:00";347
"2021-01-24 07:00:00";308
"2021-01-24 08:00:00";306
"2021-01-24 09:00:00";347
"2021-01-24 10:00:00";344
"2021-01-24 11:00:00";309
"2021-01-24 12:00:00";148
"2021-01-24 13:00:00";111
"2021-01-24 14:00:00";31
"2021-01-24 15:00:00";103
"2021-01-24 16:00:00";57
"2021-01-24 17:00:00";122
"2021-01-24 18:00:00";178
"2021-01-24 19:00:00";308
"2021-01-24 20:00:00";224
"2021-01-24 21:00:00";303
"2021-01-24 22:00:00";337
"2021-01-24 23:00:00";337
"2021-01-25 00:00:00";266
"2021-01-25 01:00:00";272
"2021-01-25 02:00:00";54
"2021-01-25 03:00:00";89
"2021-01-25 04:00:00";297
