Nivel de qualidade,Data,Hora UTC,Incerteza UTC,Lat,Lon,Incerteza Local ,Município ,Estado,Fenomeno,Itensidade,Informativo
1,20200814,1840,10,-270.002,-515.558,1,Água Doce,SC,TOR,0.0,"Horário estimado pelo radar de Chapecó. 11 feridos. 1 morto, menino pescando foi sugado. Tornado confirmado pela Defesa Civil. Decretado Estado de Calamidade Pública. Assinatura de gancho claro. Destelhamento de prédio e danos na cidade. Casas de alvenaria destruídas, apenas com a fundação. Carro popular foi jogado sobre uma casa destruída. Tornado filmado na Av. Independência. https://www.atualfm.com.br/site/calamidade-imagens-aereas-impressionam-apos-passagem-de-tornado-que-devastou-a-cidade-de-agua-doce/, https://g1.globo.com/sc/santa-catarina/noticia/2020/08/15/tornados-e-tempestades-com-granizo-deixam-rastro-de-destruicao-em-sc.ghtml, https://www.nsctotal.com.br/noticias/dois-tornados-atingem-sc-confirma-defesa-civil, https://www.facebook.com/minhaaguadoce/videos/325975901929928/, https://ndmais.com.br/tempo/chefe-da-defesa-civil-viaja-a-regiao-do-meio-oeste-atingida-pelo-tornado/, https://oblumenauense.com.br/video-forte-temporal-causa-grandes-prejuizos-em-agua-doce-e-tangara-nesta-sexta-14-08/, http://www.litoralmania.com.br/tornados-e-tempestades-com-granizo-deixam-rastro-de-destruicao-em-sc/, https://ndmais.com.br/tempo/tornado-perdemos-praticamente-tudo-conta-moradora-de-agua-doce/, https://rondapolicial.net.br/noticia/video-xanxerense-registra-imagens-e-relata-cenas-da-destruicao-causada-por-um-tornado-em-agua-doce/, https://visornoticias.com.br/noticia/18978/vdeo%20menina%20de%2015%20anos%20salva%20pai%20cadeirante%20durante%20tornado%20em%20santa%20catarina, https://www.youtube.com/watch?v=yHQkB48DCTA&feature=emb_logo, https://ndmais.com.br/tempo/apos-tornado-fim-de-semana-de-reconstrucao-em-agua-doce/, https://cultura.uol.com.br/noticias/12216_tornado-em-santa-catarina-destruiu-4-mil-casas-e-deixou-mais-de-mil-desabrigados-no-ultimo-sabado-15.html"
1,20200814,1845,10,-270.222,-514.264,3,Treze Tílias,SC,TOR,0.0,"Horário estimado pelo radar de Chapecó. Danos a árvores e residências na Linha São Paulo. Casa com paredes de alvenaria parcialmente derrubadas. Suinos mortos no interior. https://www.noticiasagricolas.com.br/noticias/granjeiros/266148-sc-suinocultores-tem-granjas-destruidas-pelas-chuvas-e-tentam-fazer-carregamento-dos-animais.html#.Xzq-xuhKiUm, https://www.facebook.com/watch/?extid=s9jD0zmyozD977Xy&v=616984222564193, https://www.tropicalfm99.com.br/noticia/24387/treze-tilias-decreta-situacao-de-emergencia-apos-tornado-deixar-mais-rs1-milhao-em-prejuizos-no-municipio"
3,20200814,1850,10,-270.458,-513.972,0.1,Ibicaré,SC,TOR,0.0,Horário estimado pelo radar de Chapecó. Árvores decepadas. Ponto é perto da Linha Gramado dos Leite e São Jose.
1,20200814,1850,10,-270.619,-514.110,2,Ibicaré,SC,TOR,0.0,Horário estimado pelo radar de Chapecó. Destelhamentos na Linha Santo Antônio. Fica no rastro do tornado. http://www.michelteixeira.com.br/ibicare-nove-casas-foram-perdidas-e-70-familias-atingidas-por-tornado/
1,20200814,1850,10,-270.341,-513.634,3,Treze Tílias,SC,TOR,0.0,"Horário estimado pelo radar de Chapecó. Danos na comunidade de São Roque. https://www.noticiasagricolas.com.br/noticias/granjeiros/266148-sc-suinocultores-tem-granjas-destruidas-pelas-chuvas-e-tentam-fazer-carregamento-dos-animais.html#.Xzq-xuhKiUm, https://www.facebook.com/watch/?extid=s9jD0zmyozD977Xy&v=616984222564193, https://www.tropicalfm99.com.br/noticia/24387/treze-tilias-decreta-situacao-de-emergencia-apos-tornado-deixar-mais-rs1-milhao-em-prejuizos-no-municipio, https://www.canalrural.com.br/noticias/pecuaria/tornado-santa-catarina-destroi-granjas/, https://g1.globo.com/sc/santa-catarina/noticia/2020/08/17/ao-menos-seis-cidades-de-sc-vao-decretar-emergencia-por-causa-de-tornados-e-temporais-diz-defesa-civil.ghtml"
3,20200814,1850,10,-270.383,-513.896,0.1,Ibicaré,SC,TOR,0.0,Horário estimado pelo radar de Chapecó. Danos em estrutura de um Ginásio do Centro de Integreação e Desporto e Lazer. Matas de eucaliptos complatemante decepadas pela base. Propriedades danificadas. https://g1.globo.com/sc/santa-catarina/noticia/2020/08/17/ao-menos-seis-cidades-de-sc-vao-decretar-emergencia-por-causa-de-tornados-e-temporais-diz-defesa-civil.ghtml
1,20200814,1855,10,-270.543,-513.232,2,Ibicaré,SC,TOR,0.0,Horário estimado pelo radar de Chapecó. Linha Duque de Caxias. Casas destelhadas e cenário com matas decepadas. Igreja da Paróquia São José destruída na Linha São José. https://diarioriodopeixe.com/2020/08/17/familias-de-ibicare-atingidas-pelo-tornado-precisam-de-ajuda/
1,20200814,1855,10,-270.817,-513.354,2,Ibicaré,SC,TOR,0.0,Horário estimado pelo radar de Chapecó. Destelhamentos na Linha São Salvador e Lajeado Grande. Ficam no rastro do tornado. http://www.michelteixeira.com.br/ibicare-nove-casas-foram-perdidas-e-70-familias-atingidas-por-tornado/
3,20200814,1855,10,-270.815,-512.867,0.1,Tangará,SC,TOR,0.0,"Horário estimado pelo radar de Chapecó. Matas de eucaliptos completamente decepadas, aparentemente devido à passagem do centro do tornado principal, com rastro de largura estimada de mais de 380 m em um vale."
3,20200814,1855,10,-270.811,-512.828,0.1,Tangará,SC,TOR,0.0,"Horário estimado pelo radar de Chapecó. Danos amplos na vegetação, com rastro de largura estimada de mais de 380 m."
