cod;nome;período;valor
23;CE;2010;2688
24;RN;2010;810
25;PB;2010;1455
26;PE;2010;3473
33;RJ;2011;4781
11;RO;2011;450
12;AC;2011;164
13;AM;2011;1292
14;RR;2011;95
15;PA;2011;3073
16;AP;2011;209
17;TO;2011;361
21;MA;2011;1591
22;PI;2011;440
23;CE;2011;2792
24;RN;2011;1054
25;PB;2011;1614
26;PE;2011;3471
27;AL;2011;2244
28;SE;2011;731
29;BA;2011;5549
31;MG;2011;4262
32;ES;2011;1672
53;DF;2011;902
35;SP;2011;5842
41;PR;2011;3376
42;SC;2011;811
43;RS;2011;2077
50;MS;2011;673
51;MT;2011;1009
52;GO;2011;2272
41;PR;2012;3489
26;PE;2012;3327
25;PB;2012;1525
24;RN;2012;1124
23;CE;2012;3841
22;PI;2012;525
21;MA;2012;1777
17;TO;2012;379
16;AP;2012;253
15;PA;2012;3236
14;RR;2012;144
13;AM;2012;1344
12;AC;2012;208
11;RO;2012;526
35;SP;2012;6566
33;RJ;2012;4772
32;ES;2012;1667
31;MG;2012;4562
27;AL;2012;2046
29;BA;2012;6148
28;SE;2012;879
53;DF;2012;954
52;GO;2012;2793
51;MT;2012;1074
50;MS;2012;683
43;RS;2012;2382
42;SC;2012;821
27;AL;2013;2148
11;RO;2013;483
12;AC;2013;234
13;AM;2013;1191
14;RR;2013;214
15;PA;2013;3405
16;AP;2013;225
17;TO;2013;349
21;MA;2013;2163
22;PI;2013;598
23;CE;2013;4473
24;RN;2013;1447
25;PB;2013;1551
26;PE;2013;3124
28;SE;2013;965
29;BA;2013;5694
31;MG;2013;4717
32;ES;2013;1622
33;RJ;2013;5111
35;SP;2013;6035
41;PR;2013;2936
42;SC;2013;789
43;RS;2013;2322
50;MS;2013;630
51;MT;2013;1158
52;GO;2013;2975
53;DF;2013;837
27;AL;2014;2085
28;SE;2014;1097
29;BA;2014;6052
31;MG;2014;4724
32;ES;2014;1609
33;RJ;2014;5718
35;SP;2014;6185
41;PR;2014;2980
42;SC;2014;905
43;RS;2014;2724
50;MS;2014;700
