ID;Estação;latitude;longitude;altitude
83319;NOVA XAVANTINA (XAVANTINA);-14.7;-52.35;316
83321;ARUANA;-14.93;-51.04;249
83332;POSSE;-14.09;-46.37;825
83334;FORMOSO;-14.95;-46.24;840
83338;ESPINOSA;-14.91;-42.81;570
83339;CAETITE;-14.07;-42.49;882
83340;MONTALVANIA;-14.37;-44.45;560
83344;VITORIA DA CONQUISTA;-14.89;-40.8;874
83345;VITORIA DA CONQUISTA;-14.85;-40.85;915
83347;ITABUNA;-14.81;-39.29;60
83348;ILHEUS;-14.8;-39.02;60
83349;ILHEUS AEROPORTO;-14.8;-39.03;5
83350;GOIANESIA;-15.22;-49;651
83358;POXOREO;-15.83;-54.4;450
83359;BARRA DO GARCAS;-15.85;-52.38;350
83360;COXIPO DA PONTE;-15.6;-56.1;223
83361;CUIABA;-15.62;-56.11;151
83362;CUIABA AEROPORTO;-15.65;-56.12;187
83363;SAO VICENTE;-15.82;-55.42;800
83364;PADRE RICARDO REMETTER;-15.78;-56.07;140
83365;SANGRADOURO;-15.63;-53.9;555
83368;ARAGARCAS;-15.9;-52.25;345
83369;ARAGARCAS;-15.9;-52.23;
83373;RONCADOR;-15.95;-47.88;1,100
83374;GOIAS;-15.94;-50.14;512
83375;GAMA;-15.97;-48.05;700
83376;PIRENOPOLIS;-15.85;-48.97;730
83377;BRASILIA;-15.79;-47.93;1,159
83378;BRASILIA AEROPORTO;-15.87;-47.92;1,061
83379;FORMOSA;-15.55;-47.34;912
83383;BURITIS;-15.62;-46.42;600
83384;ARINOS;-15.92;-46.11;519
83385;SAO FRANCISCO;-15.95;-44.87;446
83386;JANUARIA;-15.45;-44.37;473
83387;MERURI;-15.53;-53.08;416
83388;MONTE AZUL;-15.16;-42.87;603
83389;MOCAMBINHO;-15.08;-44.01;452
83393;PEDRA AZUL;-16.01;-41.28;648
83395;JANAUBA;-15.8;-43.3;516
83398;CANAVIEIRAS;-15.67;-38.96;5
83405;CACERES;-16.05;-57.68;118
83408;CARINHANHA;-14.3;-43.77;450
83409;GUIRATINGA;-16.35;-53.93;510
83410;RONDONOPOLIS;-16.46;-54.58;284
83411;TABATINGA AEROPORTO;-4.25;-69.93;371
83418;ANAPOLIS;-16.36;-48.93;1,110
83419;ANAPOLIS AEROPORTO;-16.24;-48.97;1,137
83423;GOIANIA;-16.67;-49.26;741
83424;GOIANIA AEROPORTO;-16.62;-49.22;747
83427;LUZIANIA;-16.27;-47.95;964
83428;UNAI;-16.37;-46.89;460
83432;BONFINOPOLIS;-16.57;-45.93;740
83435;SAO ROMAO;-16.37;-45.07;460
83436;MONTES CLAROS;-16.71;-43.82;668
83437;MONTES CLAROS;-16.69;-43.84;646
83438;ENG. DOLABELA;-17.1;-43.8;633
83439;GRAO MOGOL;-16.58;-42.73;819
83440;MINAS NOVAS 83440;-17.25;-42.62;921
83441;SALINAS;-16.15;-42.28;472
83442;ARACUAI;-16.85;-42.06;284
83444;JEQUITINHONHA;-16.43;-41.18;259
83446;GUARATINGA;-16.58;-39.78;194
83452;JURAMENTO;-16.78;-43.67;650
83460;PORTO SEGURO;-16.44;-39.07;51
83464;JATAI;-17.92;-51.72;662
83467;MINEIROS 83467;-17.57;-52.55;800
83470;RIO VERDE;-17.79;-50.96;727
83473;MORRINHOS;-17.72;-49.1;
83479;PARACATU;-17.24;-46.88;711
83481;JOAO PINHEIRO;-17.74;-46.18;760
83483;PIRAPORA;-17.35;-44.92;505
83485;CARBONITA;-17.53;-43.01;736
83488;ITAMARANDIBA;-17.86;-42.85;1,097
83490;ITAMBACURI;-18.02;-41.02;285
83492;TEOFILO OTONI;-17.86;-41.51;356
83495;MUCURICI 83495;-18.12;-40.5;290
83497;CARAVELAS AEROPORTO;-17.65;-39.25;4
83498;CARAVELAS;-17.74;-39.26;3
83499;ABROLHOS;-17.96;-38.69;38
83500;SERRA DOS AIMOROS;-17.25;-40.25;202
83512;COXIM;-18.5;-54.77;287
83513;NHUMIRIM (NHECOLANDIA);-18.99;-56.62;89
83514;CAPINOPOLIS;-18.73;-49.56;620
83521;ITUIUTABA;-18.96;-49.51;560
83522;IPAMERI;-17.72;-48.17;752
83523;ITUMBIARA;-18.41;-49.19;449
83524;MONTE ALEGRE DE MINAS 83524;-18.87;-48.87;756
83525;UBERLANDIA;-18.88;-48.22;943
83526;CATALAO;-18.17;-47.96;840
83527;UBERLANDIA;-18.92;-48.28;872
83531;PATOS DE MINAS;-18.52;-46.44;940
83533;BOM DESPACHO;-19.72;-45.37;695
83536;CURVELO;-18.75;-44.45;616
83538;DIAMANTINA;-18.24;-43.62;1,297
83539;PATROCINIO;-18.95;-47;984
83541;SAO JOAO EVANGELISTA;-18.42;-42.78;662
83542;GUANHAES;-18.71;-42.84;797
83543;GOVERNADOR VALADARES;-18.85;-41.93;277
83546;ECOPORANGA 83546;-18.37;-40.87;300
83548;CONCEICAO BARRA;-18.62;-39.67;4
83550;SAO MATEUS;-18.71;-39.85;25
83552;CORUMBA;-19;-57.67;130
83554;CORUMBA AEROPORTO;-19;-57.67;142
83555;SAO GABRIEL DA PALHA;-19.02;-40.57;120
83557;BOA ESPERANCA;-18.54;-40.27;100
83565;PARANAIBA;-19.66;-51.19;331
83566;CONFINS AEROPORTO;-19.62;-43.97;828
83570;POMPEU;-19.23;-45;691
83571;CARLOS PRATES AEROPORTO;-19.9;-43.98;927
83574;FRUTAL;-20.03;-48.93;543
83576;UBERABA AEROPORTO;-19.75;-47.97;807
83577;UBERABA;-19.74;-47.95;743
83579;ARAXA;-19.61;-46.95;1,004
83581;FLORESTAL;-19.89;-44.42;753
83582;BAMBUI;-20.03;-46.01;661
83583;BELO HORIZONTE AEROPORTO;-19.85;-43.95;785
83586;SETE LAGOAS;-19.48;-44.17;732
83587;BELO HORIZONTE;-19.93;-43.95;850
83588;LAGOA SANTA;-19.65;-43.9;852
83589;CONCEICAO DO MATO DENTRO;-19.02;-43.43;675
83590;ITABIRA 83590;-19.62;-43.22;845
83591;JOAO MONLEVADE;-19.82;-43.14;859
83592;CARATINGA;-19.74;-42.14;609
83593;CORONEL FABRICIANO 83593;-19.52;-42.62;261
83594;USIMINAS 83594;-19.47;-42.53;239
83595;AIMORES;-19.49;-41.07;83
83596;MARILANDIA (COLATINA);-19.41;-40.54;85
83597;LINHARES;-19.42;-40.07;28
83599;MOELA (ILHA);-24.05;-46.26;100
83602;CONTAGEM 83602;-19.9;-44.1;961
83605;M.A.CLARAS;-19.93;-43.93;1,065
83608;AQUIDAUANA;-20.47;-55.8;207
83609;SANTA FE DO SUL;-20.2;-50.92;402
83611;CAMPO GRANDE;-20.45;-54.62;530
83612;CAMPO GRANDE AEROPORTO;-20.47;-54.67;567
83613;CORONEL FABRICIANO;-19.57;-42.47;210
83615;Agua Clara;-20.45;-52.88;
83616;PRESIDENTE PRUDENTE;-22.1;-51.25;450
83617;URUBUPUNGA;-20.77;-51.55;356
83618;TRES LAGOAS;-20.78;-51.7;313
83621;ANDRADINA 83621;-20.92;-51.38;329
83623;VOTUPORANGA;-20.44;-49.98;503
83625;BARRETOS;-20.58;-48.6;541
83626;COLINA;-20.72;-48.55;589
83627;BEBEDOURO;-20.95;-48.48;601
83629;USINA JUNQUEIRA;-20;-47.77;560
83630;FRANCA;-20.58;-47.38;1,026
83631;SAO S.DO PARAISO;-20.91;-47.11;820
83632;IBIRITE;-20.02;-44.08;814
83634;FURNAS;-20.7;-46.33;735
83635;DIVINOPOLIS;-20.17;-44.87;788
83636;BONSUCESSO;-21.03;-44.78;940
83637;OLIVEIRA;-20.7;-44.82;966
83638;OURO BRANCO (ACOMINAS) 83638;-20.5;-43.7;1,072
83639;CAPARAO;-20.53;-41.91;843
83640;C DO CAMPO;-20.35;-43.5;1,107
83641;CUIABANA;-20.38;-43.5;1,147
83642;VICOSA;-20.76;-42.86;690
83643;PONTE NOVA;-20.4;-42.91;572
83644;POCOS DE CALDAS AEROPORTO;-21.83;-46.55;1,260
83645;ALEGRE;-20.77;-41.55;277
83646;CACHOEIRO ITAPEMIRIM;-20.85;-41.1;77
83647;VALSUGANA VELHA-JUSANTE;-19.93;-40.6;440
83648;VITORIA;-20.32;-40.32;36
83649;VITORIA AEROPORTO;-20.25;-40.28;4
83650;TRINDADE (ILHA);-20.51;-29.31;5
83652;RIBEIRAO PRETO AEROPORTO;-21.13;-47.77;549
83653;MANHUACU;-20.27;-42.05;612
83654;PORTO MURTINHO;-21.72;-57.88;98
83657;FAZENDA MONTE ALEGRE 83657;-21.32;-46.37;823
83659;DOURADOS;-22.23;-54.82;452
